id,code,name,note,account_type,reconcile
account_template_avus_2_2_1_01_0005,2.2.1.01.0005,Arrendamentos a Pagar - Longo Prazo,,liability_non_current,
account_template_avus_2_2_1_01_0006,2.2.1.01.0006,(-) Ajuste a Valor Presente Arrend. a Pagar - Longo Prazo,,liability_non_current,
account_template_avus_2_2_1_02_0001,2.2.1.02.0001,Provisões Fiscais,,liability_non_current,
account_template_avus_2_2_1_02_0002,2.2.1.02.0002,Provisões Trabalhistas,,liability_non_current,
account_template_avus_2_2_1_02_0003,2.2.1.02.0003,Provisões Cíveis,,liability_non_current,
account_template_avus_2_2_1_02_0004,2.2.1.02.0004,Outras Provisões,,liability_non_current,
account_template_avus_2_2_1_06_0001,2.2.1.06.0001,Financiamento para Aquisição de Ativos,,liability_non_current,
account_template_avus_2_2_1_06_0002,2.2.1.06.0002,Outros Financiamentos,,liability_non_current,
account_template_avus_2_3_1_01_0001,2.3.1.01.0001,Capital Social,,liability_non_current,
account_template_avus_2_3_1_02_0001,2.3.1.02.0001,Reservas ,,liability_non_current,
account_template_avus_2_3_1_02_0002,2.3.1.02.0002,AFAC - Adiantamento para Futuro Aumento de Capital,,liability_non_current,
account_template_avus_2_3_1_03_0001,2.3.1.03.0001,Ações em Tesouraria ,,liability_non_current,
account_template_avus_2_3_1_09_0001,2.3.1.09.0001,Lucros ou Prejuízos Acumulados,,equity_unaffected,
account_template_avus_2_3_1_09_0002,2.3.1.09.0002,Resultado do Exercício,,liability_non_current,
account_template_avus_3_1_1_01_0001,3.1.1.01.0001,Receita com Prestação de Serviços,,income,
account_template_avus_3_1_1_09_0001,3.1.1.09.0001,Outras Receitas Operacionais,,income,
account_template_avus_3_1_2_01_0001,3.1.2.01.0001,ISS,,income,
account_template_avus_3_1_2_01_0002,3.1.2.01.0002,PIS,,income,
account_template_avus_3_1_2_01_0003,3.1.2.01.0003,COFINS,,income,
account_template_avus_4_1_1_01_0001,4.1.1.01.0001,Honorários do Conselho de Administração,,expense,
account_template_avus_4_1_1_01_0002,4.1.1.01.0002,Honorários do Conselho Fiscal,,expense,
account_template_avus_4_1_1_01_0003,4.1.1.01.0003,Honorários do Comitê de Auditoria,,expense,
account_template_avus_4_1_1_01_0004,4.1.1.01.0004,Honorários da Diretoria Executiva,,expense,
account_template_avus_4_1_1_01_0005,4.1.1.01.0005,Gratificações,,expense,
account_template_avus_4_1_1_01_0006,4.1.1.01.0006,Despesas com Governança Corporativa,,expense,
account_template_avus_4_1_1_01_0007,4.1.1.01.0007,Pró-Labore,,expense,
account_template_avus_4_1_1_01_0008,4.1.1.01.0008,Juros - Arrendamento (Leasing),,expense,
account_template_avus_4_1_1_01_0009,4.1.1.01.0009,Outras Despesas com Administração,,expense,
account_template_avus_4_1_1_02_0001,4.1.1.02.0001,Salários,,expense,
account_template_avus_4_1_1_02_0002,4.1.1.02.0002,Férias,,expense,
account_template_avus_4_1_1_02_0003,4.1.1.02.0003,13º Salário,,expense,
account_template_avus_4_1_1_02_0004,4.1.1.02.0004,Indenizações e Aviso Prévio,,expense,
account_template_avus_4_1_1_02_0005,4.1.1.02.0005,Previdência Social,,expense,
account_template_avus_4_1_1_02_0006,4.1.1.02.0006,FGTS,,expense,
account_template_avus_4_1_1_02_0008,4.1.1.02.0008,Serviços Autônomos,,expense,
